text,label,language_mix
"Niko rada leo, life iko soft sana.",positive,uni-sheng
"Umeomoka buda, hiyo deal ilikuwa fire.",positive,sheng-heavy
"Hii sem imekuwa fiti, grades ziko juu kiasi.",positive,uni-sheng
"Tumeshinda class tukacheka tu, hakuna stress leo.",positive,uni-sheng
"Leo tumechapa sherehe mbaya, ilikuwa noma but fiti.",positive,sheng-heavy
"Assignment ya stats nimeimaliza mapema, najifeel.",positive,uni-sheng
"Boss alinipatia promotion, niko na morale sana.",positive,light-sheng
"Squadi yangu ni true, hawa wasee hunipea nguvu.",positive,sheng-heavy
"Nilipata refund ya dough yangu, nimefurai sana.",positive,sheng-heavy
"Lecture ya leo ilikuwa poa, madam aliexplain vizuri.",positive,light-sheng
"Niko na energy leo, nitaenda gym after class.",positive,uni-sheng
"Mama alinipigia akasema ako proud na mimi.",positive,light-sheng
"Project ya group imecome through, tumepewa good marks.",positive,uni-sheng
"Wasee wa hostel ni wasee fiti, wananihold down.",positive,sheng-heavy
"Deal ya kuhost event iliwork, tumechapa profit.",positive,uni-sheng
"Nilipata internship mail, naskia tu kucelebrate.",positive,light-sheng
"Crush amenireply DM, mood yangu imepanda.",positive,uni-sheng
"Kazi ya side hustle inanilipa, sina stress ya pocket.",positive,sheng-heavy
"Tulicheza match na tukawachapa two nil, team iko form.",positive,uni-sheng
"Simu yangu mpya iko smooth, nimeupgrade life kidogo.",positive,light-sheng
"Hata kama ni ngori, najua things zitakuwa sawa.",positive,light-sheng
"Class rep ameorganize revision, itatusaidia sana.",positive,uni-sheng
"Leo chapel ilikuwa lit, worship imenitouch.",positive,light-sheng
"Tulifanya presentation na lec akatupraise vibaya.",positive,uni-sheng
"Nimeanza kusave kakitu, future inaonekana poa.",positive,light-sheng
"Mpesa imeingia on time, landlord hatanistress leo.",positive,light-sheng
"Group ya chama imetuinvestia poa, returns zinaingia.",positive,light-sheng
"Tulifanya clean up drive na community ilifurahia.",positive,uni-sheng
"Nimepunguza social media na mind yangu iko calm.",positive,light-sheng
"Nilipata A kwa project ya data, efforts hazikuenda bure.",positive,uni-sheng
"Coach aliniambia nimeimprove sana kwa training.",positive,uni-sheng
"Nimelearn kupika ugali proper, wasee wa room wameshukuru.",positive,sheng-heavy
"Kanjo hawakutusumbua leo CBD, shopping ilienda smooth.",positive,sheng-heavy
"Tulipata cheaper hostel, rent imeshuka kidogo.",positive,light-sheng
"Msee wa kinyozi alinipea fresh cut, najifeel smart.",positive,light-sheng
"Hata kama syllabus ni ndefu, tunaicrush pole pole.",positive,uni-sheng
"Plot ya weekend iko ready, tutaenda movie night.",positive,uni-sheng
"Nilifanya revision na nikaelewa topics vizuri.",positive,uni-sheng
"Parents wangu wamenisupport sana, nashukuru God.",positive,light-sheng
"Nimeacha kukaa late online, naona health ina improve.",positive,light-sheng
"Online gig imenilipa dolla, naskia niko global.",positive,sheng-heavy
"Wasee wa class wamekua supportive, hakuna beef.",positive,uni-sheng
"Tulifanya hackathon tukashika position ya pili.",positive,uni-sheng
"Nimejoin gym ya school, body goals zita come through.",positive,uni-sheng
"Kusoma library usiku kulisaidia sana for mid sems.",positive,uni-sheng

"Hii life imenichoka, kila kitu inaenda left.",negative,sheng-heavy
"Bro niko chini, results zimenimaliza vibaya.",negative,uni-sheng
"Rent imeshinda, landlord amenipigia simu mara tano.",negative,light-sheng
"Nilidedi paper ya jana, maswali zilikuwa toxic.",negative,uni-sheng
"Job hakuna, nimeapply kila mahali wananyamza tu.",negative,light-sheng
"Wallet iko dry, kakitu hakuna kabisa.",negative,sheng-heavy
"Squad haitoshi tena, wasee wamekua fake sana.",negative,sheng-heavy
"Relationship imeparara, hatuelewani kabisa.",negative,light-sheng
"Network ya leo ni rubbish, online class imebust.",negative,uni-sheng
"Mat fare imepanda, wallet yangu haiwezi shika.",negative,light-sheng
"Nimechoka na hizi strikes, studies zangu zina hang.",negative,uni-sheng
"Simu imenibreak, data yote imepotea.",negative,light-sheng
"Leo nimekula blackout, tokens zimeisha ghafla.",negative,light-sheng
"Bestie amenigost, sijui hata what I did wrong.",negative,uni-sheng
"Nilikuwa na hopes za scholarship, but sikuqualify.",negative,light-sheng
"Hii group work imekuwa toxic, watu hawafanyi kitu.",negative,uni-sheng
"Sijalala poa for weeks, assignments zimenibeba.",negative,uni-sheng
"Kuna pressure ya home, kila mtu anangoja nisaidie.",negative,light-sheng
"Food kwa mess leo ilikuwa chini, nimeskia tu vibaya.",negative,uni-sheng
"Mat dere alinishout mbele ya watu, nikaumia psyche.",negative,sheng-heavy
"Nilipoteza wallet tao, sina ID wala ATM.",negative,light-sheng
"Hii cold imesema, sina sweta ya maana.",negative,light-sheng
"Roommate wangu ni noisy, siwezi soma kwa amani.",negative,uni-sheng
"Boarding fees bado sijamaliza, na exam iko karibu.",negative,light-sheng
"Nilijaribu business ya mitumba ikaanguka vibaya.",negative,sheng-heavy
"Niko stressed na kuqueue kwa admin, process ni mrefu.",negative,light-sheng
"System ya portal imecrash, hatuwezi register.",negative,uni-sheng
"WiFi ya school leo inakatikatika, online class imesuffer.",negative,uni-sheng
"Nilichelewa exam kwa sababu ya jam, psyche yangu ilienda.",negative,light-sheng
"Nilipata remark ya assignment bila explanation, imeniboo.",negative,uni-sheng
"Mkopo ya HELB haijacome, budget yangu imecrumble.",negative,light-sheng
"Dawa nimenunua haiwork, bado naskia homa mbaya.",negative,light-sheng
"Chairman wa group anashout kila saa, hakuna respect.",negative,uni-sheng
"Kwa hostel maji hakuna, tumerun buckets dry.",negative,uni-sheng
"KPLC wamekata stima bila notice, assignment imebaki.",negative,light-sheng
"Nimegombana na roommate juu ya dishes, room imekuwa cold.",negative,uni-sheng
"Mat gari ilitubeba over capacity, ilikuwa risk sana.",negative,sheng-heavy
"Niliongezwa fare midway, sikuwa na option.",negative,sheng-heavy
"Security ya hostel haiko serious, milango haina lock poa.",negative,light-sheng
"Nilitumwa dough na haijafika, naanza kuwa worried.",negative,light-sheng
"Dawa ya cafeteria kila siku ni ile ile, inanibo.",negative,uni-sheng
"Kaz ya kuprint notes kila siku inanimaliza coins.",negative,uni-sheng
"Nilishare idea class wakaicheka, imehurt kidogo.",negative,uni-sheng
